ticker,year,quarter,AssetQualityComponent.ProblemLoansAndLeasesCalculatedAsPercentageOfGrossLoans,AssetQualityComponent.LoanLossReservesToNPLs,LiquidityAndAssetsComponent.LDRPercentage,ProfitabilityComponent.NIM,NetInterestIncome,AttributeToParentCompany,SolvencyRatio.LiabilitiesToEquityRatio,ProfitabilityRatio.EBITMargin,ProfitabilityRatio.ROA,ProfitabilityRatio.ROE,ProfitabilityRatio.ROIC,ValuationRatios.BookValuePerShare,ValuationRatios.BasicEPS,ValuationRatios.PriceToBook,ValuationRatios.PriceToEarning,Revenue,EBIT
NAB,2021,2,0.01420598,0.70800333,0.7339864,0.02900192,901964000000.0,367815000000.0,,,,,,,,,,,
NAB,2021,3,0.01894737,0.54841771,0.73265956,0.02899206,1196752000000.0,489784000000.0,,,,,,,,,,,
NAB,2021,4,0.01571442,0.79519718,0.73984049,0.03124208,889561000000.0,278638000000.0,,,,,,,,,,,
NAB,2022,1,0.01507923,0.81271482,0.7490129,0.03068895,1294912000000.0,298126000000.0,,,,,,,,,,,
NAB,2022,2,0.01355976,0.93402153,0.72598948,0.02967881,1097743000000.0,515576000000.0,,,,,,,,,,,
NAB,2022,3,0.02031348,0.57007904,0.73725114,0.03136252,1241785000000.0,419784000000.0,,,,,,,,,,,
NAB,2022,4,0.01347884,0.77221863,0.75822236,0.0319605,1370527000000.0,546123000000.0,,,,,,,,,,,
NAB,2023,1,0.02014025,0.53811937,0.73910288,0.03221402,1405583000000.0,283115000000.0,,,,,,,,,,,
NAB,2023,2,0.0272063,0.37859028,0.72653406,0.03257224,1554152000000.0,609301000000.0,,,,,,,,,,,
NAB,2023,3,0.02836687,0.36520948,0.72276588,0.03090289,1537980000000.0,607175000000.0,,,,,,,,,,,
NAB,2023,4,0.02113373,0.51647273,0.75755126,0.03537096,1310517000000.0,415529000000.0,,,,,,,,,,,
NAB,2024,1,0.02660466,0.42330485,0.75760087,0.03381692,2244660000000.0,989614000000.0,,,,,,,,,,,
NAB,2024,2,0.02565102,0.47185856,0.77077144,0.03584272,1717010000000.0,798182000000.0,,,,,,,,,,,
NAB,2024,3,0.02851754,0.45256394,0.76635496,0.03761742,2208890000000.0,971738000000.0,,,,,,,,,,,
NAB,2024,4,0.02330408,0.52829831,0.77636267,0.03582563,2000319000000.0,870381000000.0,,,,,,,,,,,
NAB,2025,1,0.02485448,0.52150426,0.75813505,0.0350948,2011601000000.0,966792000000.0,,,,,,,,,,,
